Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,002,14,6,7,9,8,6,4,1,3,,,,1,,,,1,"Parupati, Sunil K",,,,,
ACCT,2301,003,14,6,5,9,6,7,3,5,1,,,,1,,1,,,"Yayvak, Berk",,,,,
ACCT,2301,004,13,15,5,4,6,3,2,4,,2,1,,1,,,,2,"Zhang, Yang",,,,,
ACCT,2301,005,23,5,9,6,10,2,6,2,,,,,1,,,,1,"Files, Rebecca L","Ai, Lanru",,,,
ACCT,2301,006,16,8,5,4,10,1,3,2,2,2,1,1,6,,,,3,"Huang, Junfan","Chen, Hangu",,,,
ACCT,2301,007,16,7,4,6,9,5,5,4,4,1,2,,3,,,,,"Files, Rebecca L","Ai, Lanru",,,,
ACCT,2301,008,4,15,6,6,7,7,3,15,,,,,,,,,1,"Huang, Ying","Zhou, Junfei",,,,
ACCT,2301,009,8,8,7,6,,12,11,2,6,3,,,1,,,,,"Siano, Federico","Torres Juan, Bryan D",,,,
ACCT,2301,010,3,18,6,10,4,9,4,7,,,,,,,,,2,"Huang, Ying","Zhou, Junfei",,,,
ACCT,2301,011,8,5,5,8,8,6,12,1,1,,,1,4,,,,1,"Siano, Federico","Torres Juan, Bryan D",,,,
ACCT,2301,012,11,4,3,11,1,4,3,3,3,4,1,2,6,,,,2,"Huang, Junfan","Chen, Hangu",,,,
ACCT,2301,013,5,4,2,14,9,9,5,1,3,4,2,2,,,,,,"Siano, Federico","Torres Juan, Bryan D",,,,
ACCT,2301,501,6,10,1,7,5,5,4,14,,1,,,4,,,,1,"Huang, Ying","Zhou, Junfei",,,,
ACCT,2301,HON,13,4,11,9,11,1,8,,,,,,,,,,,"Files, Rebecca L","Ai, Lanru",,,,
ACCT,2302,001,5,9,,1,19,7,2,6,2,,5,,1,,,,2,"Zolton, Kathy","Weber, Josiah C",,,,
ACCT,2302,002,4,15,,1,14,2,,9,1,,4,1,4,,,,4,"Zolton, Kathy","Weber, Josiah C",,,,
ACCT,2302,003,16,6,6,2,6,1,4,5,3,2,,5,2,,,,1,"Copat, Rafael","Soppannavar, Gauri C",,,,
ACCT,2302,004,17,12,8,4,1,2,3,1,4,1,,3,1,,,,3,"Copat, Rafael","Soppannavar, Gauri C",,,,
ACCT,2302,005,18,8,6,4,10,3,1,1,1,1,3,1,2,,,,1,"Copat, Rafael","Soppannavar, Gauri C",,,,
ACCT,2302,006,6,11,,6,13,,9,5,,2,,,1,,,,1,"Zolton, Kathy","Soppannavar, Gauri C",,,,
ACCT,2302,501,3,8,1,2,5,3,4,2,5,4,,,3,,,,2,"Natarajan, Ramachandran","Muse, Abigail M",,,,
ACCT,3312,001,11,16,7,6,3,,6,1,1,,1,,,,,,1,"Johnson, Jennifer G","Bull, Garrett M",,,,
ACCT,3322,001,10,6,6,4,4,,1,,,,,,1,,,,4,"Islam, Naser","Rashmi, Richa",,,,
ACCT,3331,001,,19,,,16,,5,13,,,4,,2,,,,1,"Zhang, Yuan","Wang, Xiao",,,,
ACCT,3331,002,,17,,,13,,7,14,,,5,,,,,,3,"Zhang, Yuan","Wang, Xiao",,,,
ACCT,3331,003,,11,,,14,,10,14,,,7,,2,,,,1,"Zhang, Yuan","Wang, Xiao",,,,
ACCT,3331,501,2,2,3,1,6,2,2,1,3,1,3,,,,,,,"Solcher, Steven J","Li, Catherine X",,,,
ACCT,3332,001,8,8,1,2,9,,4,9,,1,3,7,1,,,,7,"Bortz, Tiffany A","Mckenzie, Dylan",,,,
ACCT,3332,501,,6,2,5,1,3,,,5,3,2,,1,,,,1,"Kromer, Jeffrey R","Mckenzie, Dylan",,,,
ACCT,3332,PPA,15,9,7,2,10,7,4,4,2,2,5,3,,,,,,"Bortz, Tiffany A","Mckenzie, Dylan",,,,
ACCT,3341,001,2,11,9,11,7,9,5,2,,,,,1,,,,2,"Natarajan, Ramachandran","Muse, Abigail M",,,,
ACCT,3341,501,2,8,4,7,8,5,3,,3,,,,,,,,1,"Natarajan, Ramachandran","Muse, Abigail M",,,,
ACCT,3350,001,2,12,8,8,10,3,,2,,,,,,,,,3,"Solcher, Steven J","Li, Catherine X",,,,
ACCT,3350,501,,10,6,10,8,6,1,3,,,,,1,,,,,"Frost, Sandra M","Li, Catherine X",,,,
ACCT,4301,501,,2,,3,,4,3,4,2,3,,,1,,,,,"Hagen, John","Ananthula, Pooja",,,,
ACCT,4302,PPA,6,9,19,20,9,5,1,,1,,,,,,,,,"Markov, Stanimir G","Manoj Vasudha Shivaani, Fnu",,,,
ACCT,4334,001,,12,,1,10,,,15,3,,3,,2,,,,4,"Linsteadt, Chris C",,,,,
ACCT,4334,501,,10,,,12,,,5,,2,3,,2,,,,,"Linsteadt, Chris C",,,,,
ACCT,4334,PPA,,23,,,35,,,10,,,1,,,,1,,,"Linsteadt, Chris C",,,,,
ACCT,4336,001,,3,6,8,6,2,1,,,,,,,,,,1,"Gurun, Umit G","Gu, Dongdi",,,,
ACCT,4337,501,,2,3,5,4,2,2,,3,1,2,,,,,,1,"Ballew, Gregory","Weber, Josiah C",,,,
ACCT,4340,001,12,12,6,1,2,1,1,1,2,,,,2,,,,2,"Johnson, Jennifer G","Bull, Garrett M",,,,
ACCT,4342,001,6,12,13,8,8,3,8,,1,1,,,,,,,,"Johnson, Jennifer G","Bull, Garrett M",,,,
ACCT,4342,501,3,1,5,6,2,2,2,1,2,,,,1,,,,,"Johnson, Jennifer G","Bull, Garrett M",,,,
ACCT,6194,SW1,,4,,,3,,,,,,,,1,,,,4,"Johnson, Jennifer G",,,,,
ACCT,6202,0W1,,9,14,12,5,4,1,1,,,,,2,,,,,"Janakiraman, Surya N","Liu, Ruichao",,,,
ACCT,6202,CH1,,24,4,1,,,,,,,,,,,,,,"Sadka, Gil",,,,,
ACCT,6202,GW1,,7,2,4,2,2,,1,,,,,1,,,,,"Sadka, Gil",,,,,
ACCT,6301,001,,34,2,4,5,,,,,,,,,,,,,"Zhou, Yibin","Chen, Hangu",,,,
ACCT,6301,501,,30,5,9,2,2,1,1,,,,,,,,,,"Zhou, Yibin","Chen, Hangu",,,,
ACCT,6301,0W1,,9,10,4,9,3,4,1,,,,,2,,,,4,"Ali, Ashiq","Liu, Ruichao",,,,
ACCT,6301,GW1,,35,1,2,,,,,,,,,,,,,,"Barden, John P",,,,,
ACCT,6301,MBC,,23,9,11,2,1,,,,,,,,,,,,"Radhakrishnan, Suresh","Manoj Vasudha Shivaani, Fnu",,,,
ACCT,6301,MBP,,15,7,5,1,1,3,1,,,,,,,,,2,"Radhakrishnan, Suresh","Manoj Vasudha Shivaani, Fnu",,,,
ACCT,6301,X01,,9,2,3,4,2,,,,,,,,,,,,"Ali, Ashiq",,,,,
ACCT,6305,001,,10,5,11,4,5,3,,,,,,,,,,,"Li, Ningzhong","Gu, Dongdi",,,,
ACCT,6305,501,,6,4,8,3,2,2,,,,,,,,,,,"Li, Ningzhong","Gu, Dongdi",,,,
ACCT,6305,502,,8,5,9,3,3,3,,,,,,,,,,1,"Li, Ningzhong","Gu, Dongdi",,,,
ACCT,6321,S01,,4,4,3,2,,,,,,,,,,,,,"Scott, James",,,,,
ACCT,6330,0W1,,9,,2,6,,,10,,,,,,,,,8,"Cready, William M","Wang, Xiao",,,,
ACCT,6331,501,,4,3,4,2,2,1,,,,,,1,,,,,"Janakiraman, Surya N","Liu, Ruichao",,,,
ACCT,6332,501,,6,,,6,,,1,,,,,1,,,,,"Zolton, Kathy","Weber, Josiah C",,,,
ACCT,6333,501,,14,,,10,,,7,,,,,,,,,2,"Zolton, Kathy","Weber, Josiah C",,,,
ACCT,6333,PPA,,14,,,7,,,6,,,,,,,,,1,"Zolton, Kathy","Weber, Josiah C",,,,
ACCT,6334,0W1,,6,,,7,,,1,,,,,1,,,,,"Linsteadt, Chris C",,,,,
ACCT,6335,0W1,,16,11,13,12,,1,2,,,,,,,,,,"Bortz, Tiffany A","Muse, Abigail M","Mckenzie, Dylan",,,
ACCT,6336,501,,10,12,5,,,,,,,,,,,,,,"Mauriello, Joseph A","Goetsch, Wesley H",,,,
ACCT,6341,0W1,,20,1,3,4,3,,2,,,,,,,,,,"Goodrich, Mary Beth W","Rashmi, Richa",,,,
ACCT,6344,0W1,,17,27,7,7,3,2,,,,,,,,,,,"Gurun, Umit G","Gu, Dongdi",,,,
ACCT,6345,501,,3,9,3,4,2,1,,,,,,,,,,2,"Janakiraman, Surya N","Liu, Ruichao",,,,
ACCT,6350,501,,17,8,8,2,,,,,,,,,,1,,,"Solcher, Steven J","Li, Catherine X",,,,
ACCT,6353,501,,6,3,7,7,3,1,,,,,,,,,,1,"Solcher, Steven J","Li, Catherine X",,,,
ACCT,6353,PPA,,7,10,7,6,,,,,,,,,,,,,"Solcher, Steven J","Li, Catherine X",,,,
ACCT,6354,501,,14,2,6,9,,,,,,,,,,,,,"Frost, Mark D",,,,,
ACCT,6356,501,,13,1,4,1,,2,,,,,,,,,,1,"Gamino, John P",,,,,
ACCT,6365,501,,3,6,2,2,3,,2,,,,,1,,,,1,"Cheng, Samuel",,,,,
ACCT,6374,0W1,,8,25,10,2,,,,,,,,,,,,,"Mauriello, Joseph A","Gotham, Albert J","Goetsch, Wesley H",,,
ACCT,6377,501,,6,8,5,4,,,,,,,,,,,,,"Ballew, Gregory",,,,,
ACCT,6380,501,,5,5,6,3,,,,,,,,,,1,,,"Mauriello, Joseph A","Gotham, Albert J","Goetsch, Wesley H",,,
ACCT,6383,501,,3,2,9,4,2,,3,,,,,,,,,,"Bracy, Dana","Li, Catherine X",,,,
ACCT,6386,001,,21,7,6,2,2,,,,,,,1,,,,1,"Mauriello, Joseph A","Gotham, Albert J",,,,
